epoch,loss,lr,val_loss
74,-6.671293258666992,0.0005,-6.8064799308776855
75,-6.672162055969238,0.0005,-6.809013366699219
76,-6.6851348876953125,0.0005,-6.815162181854248
77,-6.687130928039551,0.0005,-6.819828033447266
78,-6.690131664276123,0.0005,-6.816600322723389
79,-6.685953617095947,0.0005,-6.822613716125488
80,-6.697011947631836,0.0005,-6.825907230377197
81,-6.701472282409668,0.0005,-6.802103519439697
82,-6.671195983886719,0.0005,-6.819696426391602
83,-6.703462600708008,0.0005,-6.8359856605529785
84,-6.708139419555664,0.0005,-6.836973667144775
85,-6.712701797485352,0.0005,-6.838825702667236
86,-6.714313983917236,0.0005,-6.840236186981201
87,-6.715213298797607,0.0005,-6.841731071472168
88,-6.71974515914917,0.0005,-6.851096153259277
89,-6.72107458114624,0.0005,-6.847406387329102
90,-6.710137367248535,0.0005,-6.838686466217041
91,-6.719955921173096,0.0005,-6.85634183883667
92,-6.72983980178833,0.0005,-6.858230113983154
93,-6.706642150878906,0.0005,-6.857541561126709
94,-6.733297348022461,0.0005,-6.865123748779297
95,-6.741938591003418,0.0005,-6.85812520980835
96,-6.7445244789123535,0.0005,-6.866153240203857
97,-6.732459545135498,0.0005,-6.8441691398620605
98,-6.748733997344971,0.0005,-6.85902738571167
99,-6.7440290451049805,0.0005,-6.885738849639893
100,-6.751783847808838,0.0005,-6.881476402282715
101,-6.756880760192871,0.0005,-6.868177890777588
102,-6.746748447418213,0.0005,-6.853447914123535
103,-6.772276401519775,0.00025,-6.899473667144775
104,-6.783044338226318,0.00025,-6.906654357910156
105,-6.784501552581787,0.00025,-6.905307769775391
106,-6.785909652709961,0.00025,-6.912351131439209
107,-6.788164138793945,0.00025,-6.906883716583252
108,-6.786627292633057,0.00025,-6.9095940589904785
109,-6.790548801422119,0.00025,-6.913949489593506
110,-6.789088726043701,0.00025,-6.914941310882568
111,-6.791830062866211,0.00025,-6.897299766540527
112,-6.791069984436035,0.00025,-6.911813735961914
113,-6.797203540802002,0.00025,-6.907443046569824
114,-6.807393550872803,0.000125,-6.92666482925415
115,-6.806265830993652,0.000125,-6.925506114959717
