epoch,loss,lr,val_loss
0,-2.8993494510650635,0.001,-3.5424563884735107
1,-3.8698835372924805,0.001,-4.080852508544922
2,-4.2025957107543945,0.001,-4.280179977416992
3,-4.3964667320251465,0.001,-4.466937065124512
4,-4.549909591674805,0.001,-4.594671249389648
5,-4.663300037384033,0.001,-4.696745872497559
6,-4.764402866363525,0.001,-4.786802291870117
7,-4.84879732131958,0.001,-4.8601975440979
8,-4.921636581420898,0.001,-4.912844181060791
9,-4.995201587677002,0.001,-5.007372856140137
10,-5.060096740722656,0.001,-5.017806053161621
11,-5.113929748535156,0.001,-5.099507808685303
12,-5.160106182098389,0.001,-5.1608781814575195
13,-5.207031726837158,0.001,-5.201874256134033
14,-5.253890037536621,0.001,-5.244924545288086
15,-5.293962478637695,0.001,-5.282317161560059
16,-5.3306565284729,0.001,-5.3297438621521
17,-5.366228103637695,0.001,-5.354034900665283
18,-5.392168998718262,0.001,-5.385583877563477
19,-5.424370765686035,0.001,-5.380477428436279
20,-5.456690788269043,0.001,-5.447258949279785
21,-5.483780860900879,0.001,-5.456079483032227
22,-5.510509014129639,0.001,-5.478391647338867
23,-5.530635356903076,0.001,-5.516961574554443
24,-5.556537628173828,0.001,-5.5489044189453125
25,-5.579990863800049,0.001,-5.5677571296691895
26,-5.600283622741699,0.001,-5.59603214263916
27,-5.622917175292969,0.001,-5.552174091339111
28,-5.640368461608887,0.001,-5.622921466827393
29,-5.659312725067139,0.001,-5.6295671463012695
30,-5.677675724029541,0.001,-5.661852836608887
31,-5.700095176696777,0.001,-5.690120220184326
32,-5.71241569519043,0.001,-5.649773120880127
33,-5.726982116699219,0.001,-5.722067832946777
34,-5.749661445617676,0.001,-5.732651233673096
35,-5.73562479019165,0.001,-5.712771892547607
36,-5.7721171379089355,0.001,-5.767024040222168
37,-5.789585590362549,0.001,-5.764571189880371
38,-5.805195331573486,0.001,-5.786421775817871
39,-5.821013927459717,0.001,-5.801061153411865
40,-5.834351539611816,0.001,-5.804452896118164
41,-5.851657390594482,0.001,-5.837374210357666
42,-5.863194942474365,0.001,-5.827011585235596
43,-5.8694257736206055,0.001,-5.822122097015381
