epoch,loss,lr,val_loss
0,-9.274996757507324,0.001,-11.92603874206543
1,-13.346548080444336,0.001,-13.545742988586426
2,-14.289765357971191,0.001,-14.092469215393066
3,-14.706008911132812,0.001,-14.270538330078125
4,-15.014974594116211,0.001,-14.556041717529297
5,-15.249502182006836,0.001,-14.756817817687988
6,-15.437897682189941,0.001,-14.911590576171875
7,-15.600136756896973,0.001,-15.131916046142578
8,-15.747425079345703,0.001,-15.19295883178711
9,-15.88270092010498,0.001,-15.287188529968262
10,-16.00048065185547,0.001,-15.31106948852539
11,-16.06853675842285,0.001,-15.40494441986084
12,-16.180923461914062,0.001,-15.56029224395752
13,-16.26148796081543,0.001,-15.521711349487305
14,-16.363386154174805,0.001,-15.493976593017578
15,-16.420700073242188,0.001,-15.606461524963379
16,-16.49195671081543,0.001,-15.640340805053711
17,-16.56232261657715,0.001,-15.716076850891113
18,-16.603626251220703,0.001,-15.858102798461914
19,-16.67283821105957,0.001,-15.778786659240723
20,-16.723649978637695,0.001,-15.87391471862793
21,-16.784305572509766,0.001,-15.900407791137695
22,-16.83248519897461,0.001,-15.943467140197754
23,-16.88761329650879,0.001,-15.97697925567627
24,-16.8810977935791,0.001,-15.992603302001953
25,-16.95814323425293,0.001,-16.052509307861328
26,-16.996246337890625,0.001,-15.98184585571289
27,-17.037843704223633,0.001,-16.036338806152344
28,-17.058706283569336,0.001,-16.117162704467773
29,-17.08596420288086,0.001,-16.10404396057129
30,-17.12623405456543,0.001,-16.100683212280273
31,-17.170568466186523,0.001,-16.196475982666016
32,-17.186687469482422,0.001,-16.12362289428711
33,-17.2126522064209,0.001,-16.213037490844727
34,-17.2772159576416,0.001,-16.13104248046875
35,-17.281007766723633,0.001,-16.17047882080078
36,-17.301225662231445,0.001,-16.174205780029297
37,-17.48321533203125,0.0005,-16.344511032104492
38,-17.521503448486328,0.0005,-16.348011016845703
39,-17.548145294189453,0.0005,-16.353878021240234
40,-17.560239791870117,0.0005,-16.381227493286133
41,-17.56734848022461,0.0005,-16.32181739807129
42,-17.573444366455078,0.0005,-16.399930953979492
43,-17.592082977294922,0.0005,-16.3169002532959
44,-17.605241775512695,0.0005,-16.387868881225586
45,-17.6359920501709,0.0005,-16.410587310791016
46,-17.622697830200195,0.0005,-16.33493995666504
47,-17.656232833862305,0.0005,-16.416086196899414
48,-17.669050216674805,0.0005,-16.401399612426758
49,-17.68572998046875,0.0005,-16.42120933532715
50,-17.696632385253906,0.0005,-16.424053192138672
51,-17.7071475982666,0.0005,-16.45760726928711
52,-17.70749282836914,0.0005,-16.3521785736084
53,-17.718660354614258,0.0005,-16.438112258911133
54,-17.74205780029297,0.0005,-16.446374893188477
55,-17.820348739624023,0.00025,-16.46710777282715
56,-17.837270736694336,0.00025,-16.484907150268555
57,-17.84578514099121,0.00025,-16.477108001708984
58,-17.852813720703125,0.00025,-16.4825439453125
59,-17.860694885253906,0.00025,-16.471582412719727
60,-17.894975662231445,0.000125,-16.498796463012695
61,-17.900484085083008,0.000125,-16.507213592529297
62,-17.906841278076172,0.000125,-16.5034236907959
63,-17.911598205566406,0.000125,-16.504703521728516
64,-17.915241241455078,0.000125,-16.492897033691406
65,-17.930849075317383,6.25e-05,-16.51344108581543
66,-17.93669891357422,6.25e-05,-16.50872039794922
67,-17.938091278076172,6.25e-05,-16.501468658447266
68,-17.939952850341797,6.25e-05,-16.50764274597168
69,-17.94907569885254,3.125e-05,-16.51067543029785
70,-17.94947624206543,3.125e-05,-16.506757736206055
71,-17.952322006225586,3.125e-05,-16.506771087646484
72,-17.957807540893555,1.5625e-05,-16.50983238220215
73,-17.960237503051758,1.5625e-05,-16.506757736206055
74,-17.9595947265625,1.5625e-05,-16.507715225219727
75,-17.960140228271484,7.8125e-06,-16.508201599121094
