epoch,loss,lr,val_loss
0,-3.8503708839416504,0.001,-4.814523220062256
1,-5.173624515533447,0.001,-5.483658313751221
2,-5.692233562469482,0.001,-5.817720890045166
3,-5.952651500701904,0.001,-6.025644302368164
4,-6.112969398498535,0.001,-6.132699966430664
5,-6.22859001159668,0.001,-6.255285263061523
6,-6.329550266265869,0.001,-6.347094535827637
7,-6.404829502105713,0.001,-6.407434940338135
8,-6.470003128051758,0.001,-6.46739387512207
9,-6.521523475646973,0.001,-6.518907070159912
10,-6.579425811767578,0.001,-6.553588390350342
11,-6.6258158683776855,0.001,-6.558042526245117
12,-6.663542747497559,0.001,-6.630134105682373
13,-6.694173812866211,0.001,-6.676494121551514
14,-6.733516693115234,0.001,-6.662474155426025
15,-6.769030570983887,0.001,-6.70068359375
16,-6.790248870849609,0.001,-6.719333171844482
17,-6.826881408691406,0.001,-6.723538875579834
18,-6.847017765045166,0.001,-6.786776542663574
19,-6.863887786865234,0.001,-6.797107219696045
20,-6.897586822509766,0.001,-6.826135635375977
21,-6.919356822967529,0.001,-6.83696174621582
22,-6.931894302368164,0.001,-6.842021942138672
23,-6.955990314483643,0.001,-6.708322048187256
24,-6.973762512207031,0.001,-6.8903422355651855
25,-6.982090950012207,0.001,-6.902885437011719
26,-7.004724502563477,0.001,-6.90350341796875
27,-7.029095649719238,0.001,-6.9346418380737305
28,-7.036533355712891,0.001,-6.952980041503906
29,-7.048836708068848,0.001,-6.9517621994018555
30,-7.058139324188232,0.001,-6.967255115509033
31,-7.073195934295654,0.001,-6.972520351409912
32,-7.072205543518066,0.001,-6.969822883605957
33,-7.092440128326416,0.001,-6.937858581542969
34,-7.107922077178955,0.001,-6.989222049713135
35,-7.117341041564941,0.001,-7.007410049438477
36,-7.121278762817383,0.001,-7.000891208648682
37,-7.133757591247559,0.001,-6.991444110870361
38,-7.116031169891357,0.001,-7.007840633392334
39,-7.150359153747559,0.001,-6.975888252258301
40,-7.154678821563721,0.001,-7.015721797943115
41,-7.143310070037842,0.001,-7.022409439086914
42,-7.168145179748535,0.001,-7.042200088500977
43,-7.172628879547119,0.001,-7.045912742614746
44,-7.177586555480957,0.001,-7.033644676208496
45,-7.185725212097168,0.001,-7.058588027954102
46,-7.193611145019531,0.001,-7.054564952850342
47,-7.202255725860596,0.001,-7.056921005249023
48,-7.206033229827881,0.001,-7.0394368171691895
49,-7.260483264923096,0.0005,-7.108043193817139
50,-7.272117614746094,0.0005,-7.112282752990723
51,-7.27929162979126,0.0005,-7.115449905395508
52,-7.284341335296631,0.0005,-7.114439964294434
53,-7.287649154663086,0.0005,-7.117636680603027
54,-7.2928690910339355,0.0005,-7.121219635009766
55,-7.2985124588012695,0.0005,-7.122302532196045
56,-7.3012495040893555,0.0005,-7.122109889984131
57,-7.305148601531982,0.0005,-7.124372482299805
58,-7.305605888366699,0.0005,-7.123441219329834
59,-7.313276767730713,0.0005,-7.125060558319092
60,-7.313619136810303,0.0005,-7.124539852142334
61,-7.317766189575195,0.0005,-7.126492977142334
62,-7.320429801940918,0.0005,-7.130712032318115
63,-7.324179649353027,0.0005,-7.126831531524658
64,-7.325868606567383,0.0005,-7.133419036865234
65,-7.331029891967773,0.0005,-7.135631084442139
66,-7.33139705657959,0.0005,-7.136053562164307
67,-7.335158824920654,0.0005,-7.132874965667725
68,-7.3362908363342285,0.0005,-7.124725818634033
69,-7.339130878448486,0.0005,-7.142984867095947
70,-7.341968059539795,0.0005,-7.136615753173828
71,-7.3437371253967285,0.0005,-7.13541841506958
72,-7.346505165100098,0.0005,-7.1334309577941895
73,-7.372622966766357,0.00025,-7.156007289886475
74,-7.378006935119629,0.00025,-7.1565728187561035
75,-7.380551338195801,0.00025,-7.155546188354492
76,-7.383441925048828,0.00025,-7.152801990509033
77,-7.3848748207092285,0.00025,-7.158507347106934
78,-7.386918067932129,0.00025,-7.159876346588135
79,-7.388609409332275,0.00025,-7.157789707183838
80,-7.390394687652588,0.00025,-7.1572723388671875
81,-7.39176607131958,0.00025,-7.156912803649902
82,-7.402742862701416,0.000125,-7.165051460266113
83,-7.40589714050293,0.000125,-7.163952350616455
84,-7.407230377197266,0.000125,-7.163382053375244
85,-7.4086079597473145,0.000125,-7.165038585662842
86,-7.413854598999023,6.25e-05,-7.167184352874756
87,-7.4153151512146,6.25e-05,-7.166020393371582
88,-7.415616989135742,6.25e-05,-7.166244983673096
89,-7.416738986968994,6.25e-05,-7.165843963623047
90,-7.419365882873535,3.125e-05,-7.167530059814453
91,-7.419792175292969,3.125e-05,-7.167454242706299
92,-7.42019510269165,3.125e-05,-7.166932106018066
93,-7.420729637145996,3.125e-05,-7.167214870452881
94,-7.422026634216309,1.5625e-05,-7.167792797088623
95,-7.422377586364746,1.5625e-05,-7.166744709014893
96,-7.422552108764648,1.5625e-05,-7.166507720947266
97,-7.422718048095703,1.5625e-05,-7.167007923126221
98,-7.423388481140137,7.8125e-06,-7.16723108291626
99,-7.423713684082031,7.8125e-06,-7.167547702789307
100,-7.423710823059082,7.8125e-06,-7.167296409606934
101,-7.424122333526611,3.90625e-06,-7.167036533355713
102,-7.424131393432617,3.90625e-06,-7.167204856872559
103,-7.424255847930908,3.90625e-06,-7.16717529296875
104,-7.424413204193115,1.953125e-06,-7.167255878448486
